Designator,Mid X,Mid Y,Rotation,Layer
C1,114.2,-101.87,180.0,top
C2,114.2,-97.82,180.0,top
D1,141.09,-105.14,180.0,top
D10,133.61,-75.26,180.0,top
D2,141.09,-97.67,180.0,top
D3,141.09,-90.2,180.0,top
D4,141.09,-82.73,180.0,top
D5,141.09,-75.26,180.0,top
D6,133.61,-105.14,180.0,top
D7,133.61,-97.67,180.0,top
D8,133.61,-90.2,180.0,top
D9,133.61,-82.73,180.0,top
J1,114.53,-106.37,90.0,top
R1,124.61,-107.3,0.0,top
R10,124.31,-79.0,0.0,top
R11,124.51,-75.8,0.0,top
R2,124.61,-104.15,0.0,top
R3,124.51,-101.0,0.0,top
R4,124.51,-97.8,0.0,top
R5,124.51,-94.7,0.0,top
R6,124.51,-91.5,0.0,top
R7,124.51,-88.4,0.0,top
R8,124.41,-85.25,0.0,top
R9,124.31,-82.1,0.0,top
U1,114.01,-85.02,0.0,top
